"BP_Line: Position[Y] (m)","BP_Line: Temperature (C)"
0.0,201.9087306595144
3.0E-4,201.9087306595144
6.0E-4,201.9087306595144
9.0E-4,201.90830083669795
0.0012,201.90830083669795
0.0015,201.90830083669795
0.0018,201.90788454649862
0.0021,201.90788454649862
0.0024,201.90788454649862
0.0026999999999999997,201.91195994041453
0.003,201.91195994041453
0.0032999999999999995,201.91195994041453
0.0036,201.91195994041453
0.0039,201.93536244713977
0.0042,201.93536244713977
0.0045,201.93536244713977
0.0048,202.02719411770835
0.0051,202.02719411770835
0.005399999999999999,202.02719411770835
0.005699999999999999,202.3985698671496
0.006,202.3985698671496
0.0063,202.3985698671496
0.006599999999999999,202.3985698671496
0.0069,203.50830976653907
0.0072,203.50830976653907
0.0075,203.50830976653907
0.0078,204.7459469366101
0.0081,205.90061732642238
0.0084,206.93607845623882
0.1353,227.39376919478212
0.1356,227.39376919478212
0.1359,227.38511062521656
0.1362,227.38511062521656
0.1365,227.37961324111347
0.1368,227.37049241485994
0.1371,227.37049241485994
0.1374,227.36469617467105
0.1377,227.36469617467105
0.138,227.35506803347812
0.1383,227.34894413580963
0.1386,227.34894413580963
0.1389,227.33875872277162
0.1392,227.33875872277162
0.1395,227.33227500620876
0.1398,227.32147581545536
0.1401,227.32147581545536
0.1404,227.31459608196843
0.1407,227.31459608196843
0.141,227.30311914345458
0.14129999999999998,227.2958029235378
0.14159999999999998,227.2958029235378
0.1419,227.28357663454466
0.1422,227.28357663454466
0.1425,227.27577967146448
0.14279999999999998,227.2627262612342
0.14309999999999998,227.2627262612342
0.1434,227.254401871582
0.1437,227.254401871582
0.144,227.24043990134516
0.14429999999999998,227.2315471667573
0.14459999999999998,227.2315471667573
0.1449,227.21662031470436
0.1452,227.21662031470436
0.1455,227.20710010306556
0.14579999999999999,227.19105081285028
0.14609999999999998,227.19105081285028
0.1464,227.18084543427562
0.1467,227.18084543427562
0.147,227.16359647621164
0.1473,227.1530138224212
0.14759999999999998,227.1530138224212
0.1479,227.13586483215943
0.1482,227.13586483215943
0.1485,227.11952586798554
0.1488,227.1093178824114
0.14909999999999998,227.1093178824114
0.1494,227.09288010834234
0.1497,227.09288010834234
0.15,227.08076159924917
0.0684,227.33745486388148
0.0687,227.33745486388148
0.069,227.35026650925795
0.0693,227.35793510301625
0.0696,227.35793510301625
0.0699,227.36996112756538
0.0702,227.36996112756538
0.0705,227.37715699275304
0.07079999999999999,227.38843539827224
0.0711,227.38843539827224
0.07139999999999999,227.395181571524
0.0717,227.395181571524
0.072,227.40574880539737
0.07229999999999999,227.41206744267618
0.0726,227.41206744267618
0.07289999999999999,227.42195871524734
0.0732,227.42195871524734
0.0735,227.4278712514369
0.07379999999999999,227.4371207552765
0.0741,227.4371207552765
0.0744,227.44264798006958
0.0747,227.44264798006958
0.075,227.45128890082583
0.07529999999999999,227.4564510184261
0.0756,227.4564510184261
0.0759,227.46451570064846
0.0762,227.46451570064846
0.0765,227.46933244623563
0.0768,227.4768526307422
0.0771,227.4768526307422
0.0774,227.48134336775115
0.0777,227.48134336775115
0.078,227.48835029563492
0.0783,227.4925340420029
0.0786,227.4925340420029
0.0789,227.49905844234803
0.0792,227.49905844234803
0.0795,227.5029537971355
0.0798,227.50902563364127
0.0801,227.50902563364127
0.0804,227.51265063872216
0.08070000000000001,227.51265063872216
0.081,227.51829885573432
0.0813,227.52167101041675
0.0816,227.52167101041675
0.0819,227.52692388246317
0.08220000000000001,227.52692388246317
0.0825,227.53006003792092
0.0828,227.53494446838687
0.08310000000000001,227.53494446838687
0.0834,227.53786060647207
0.08370000000000001,227.53786060647207
0.084,227.54240204240858
0.0843,227.54511310541903
0.0846,227.54511310541903
0.08489999999999999,227.54933504326425
0.08519999999999998,227.54933504326425
0.08549999999999999,227.55185476868832
0.08579999999999999,227.5557786715508
0.0861,227.5557786715508
0.08639999999999999,227.5581194880541
0.08669999999999999,227.5581194880541
0.087,227.56176450539084
0.08729999999999999,227.56393755000806
0.0876,227.56393755000806
0.08789999999999999,227.56732087107508
0.08819999999999999,227.56732087107508
0.0885,227.56933611959084
0.08879999999999999,227.57247312582427
0.0891,227.57247312582427
0.0894,227.57433935171355
0.08969999999999999,227.57433935171355
0.09,227.57724331985588
0.09029999999999999,227.57896791338976
0.0906,227.57896791338976
0.0909,227.58164963645987
0.09119999999999999,227.58164963645987
0.0915,227.58323854658232
0.09179999999999999,227.58570649496255
0.0921,227.58570649496255
0.0924,227.58716433781098
0.09269999999999999,227.58716433781098
0.093,227.58942489712194
0.0933,227.5907550686926
0.0936,227.5907550686926
0.0939,227.59281270032267
0.09419999999999999,227.59281270032267
0.0945,227.59401742772735
0.0948,227.59587466730528
0.0951,227.59587466730528
0.0954,227.596955060987
0.0957,227.596955060987
0.096,227.5986126799139
0.0963,227.59956883372524
0.0966,227.59956883372524
0.0969,227.6010260179146
0.0972,227.6010260179146
0.0975,227.6018570998791
0.0978,227.60311156760633
0.0981,227.60311156760633
0.0984,227.60381592424255
0.0987,227.60381592424255
0.099,227.60486415061382
0.0993,227.6054394453384
0.09960000000000001,227.6054394453384
0.0999,227.60627690727932
0.1002,227.60627690727932
0.1005,227.60672025131527
0.1008,227.60734162089898
0.10110000000000001,227.60734162089898
0.1014,227.60764969211624
0.1017,227.60764969211624
0.10200000000000001,227.60804903616173
0.1023,227.60821820256967
0.10260000000000001,227.60821820256967
0.1029,227.6083891982533
0.10319999999999999,227.6083891982533
0.1035,227.60841562167792
0.10379999999999999,227.60835168613676
0.10409999999999998,227.60835168613676
0.10439999999999999,227.60823139263016
0.10469999999999999,227.60823139263016
0.105,227.60792577668485
0.10529999999999999,227.60765472126263
0.10559999999999999,227.60765472126263
0.1059,227.60710062160445
0.10619999999999999,227.60710062160445
0.1065,227.60667475743224
0.10679999999999999,227.60586542822568
0.10709999999999999,227.60586542822568
0.1074,227.60528077790775
0.10769999999999999,227.60528077790775
0.108,227.6042096486995
0.1083,227.6034623859465
0.10859999999999999,227.6034623859465
0.1089,227.60212320838002
0.10919999999999999,227.60212320838002
0.1095,227.60120975880307
0.1098,227.5995967900206
0.11009999999999999,227.5995967900206
0.1104,227.5985139679703
0.11069999999999999,227.5985139679703
0.111,227.5966222470393
0.1113,227.59536741988546
0.11159999999999999,227.59536741988546
0.1119,227.59319305037087
0.1122,227.59319305037087
0.11249999999999999,227.59176430555817
0.1128,227.589304740689
0.11309999999999999,227.589304740689
0.1134,227.58770104918392
0.1137,227.58770104918392
0.11399999999999999,227.5849553645204
0.1143,227.583176743075
0.1146,227.583176743075
0.1149,227.58014592991577
0.1152,227.58014592991577
0.11549999999999999,227.57819355538533
0.1158,227.5748806323071
0.1161,227.5748806323071
0.1164,227.57275686886186
0.1167,227.57275686886186
0.11699999999999999,227.56916687245354
0.1173,227.56687521395082
0.1176,227.56687521395082
0.1179,227.56301502269554
0.1182,227.56301502269554
0.1185,227.56055995048507
0.1188,227.556437989046
0.1191,227.556437989046
0.1194,227.55382475752623
0.1197,227.55382475752623
0.12,227.54945058212695
0.1203,227.5466849180633
0.1206,227.5466849180633
0.12090000000000001,227.54206862717712
0.1212,227.54206862717712
0.1215,227.53915633967944
0.1218,227.53430785001888
0.12209999999999999,227.53430785001888
0.12239999999999998,227.53125437560828
0.12269999999999999,227.53125437560828
0.12299999999999998,227.5261826095424
0.12329999999999999,227.52299251574135
0.12359999999999999,227.52299251574135
0.12389999999999998,227.51770452970237
0.12419999999999999,227.51770452970237
0.12449999999999999,227.51438103319026
0.1248,227.50888125756597
0.1251,227.50888125756597
0.12539999999999998,227.50542578964314
0.12569999999999998,227.50542578964314
0.126,227.49971532060704
0.1263,227.49612715589922
0.1266,227.49612715589922
0.12689999999999999,227.49020320593672
0.12719999999999998,227.49020320593672
0.1275,227.48647919373758
0.1278,227.48033473668994
0.1281,227.48033473668994
0.1284,227.4764691421886
0.12869999999999998,227.4764691421886
0.129,227.47009273789905
0.1293,227.46607720251842
0.1296,227.46607720251842
0.1299,227.45945305157528
0.13019999999999998,227.45945305157528
0.1305,227.45527665867996
0.1308,227.44838479139833
0.1311,227.44838479139833
0.1314,227.44403418588547
0.13169999999999998,227.44403418588547
0.132,227.43685069446036
0.1323,227.432310226546
0.1326,227.432310226546
0.1329,227.42480753021937
0.13319999999999999,227.42480753021937
0.1335,227.42005940799783
0.1338,227.4122065129813
0.1341,227.4122065129813
0.1344,227.40723097020935
0.1347,227.40723097020935
0.135,227.39899380556483
0.0087,208.21230617256742
0.009,209.58600054173405
0.0093,211.18725144996688
0.0096,211.18725144996688
0.0099,212.03418756474855
0.0102,212.03418756474855
0.0105,213.18526827008264
0.010799999999999999,214.19046536350334
0.011099999999999999,214.19046536350334
0.011399999999999999,214.7517019747179
0.0117,214.7517019747179
0.012,215.54393871672323
0.0123,215.99689790784169
0.0126,215.99689790784169
0.012899999999999998,216.6577894116794
0.013199999999999998,216.6577894116794
0.0135,217.0387143476333
0.0138,217.6013947199835
0.0141,217.6013947199835
0.0144,217.92765475423
0.0147,217.92765475423
0.015,218.41303659528813
0.015299999999999998,218.6965301558359
0.0156,218.6965301558359
0.015899999999999997,219.12160097322754
0.0162,219.12160097322754
0.0165,219.37126117624285
0.0168,219.74797459681497
0.0171,219.74797459681497
0.0174,219.97026667177556
0.017699999999999997,219.97026667177556
0.018,220.30753555736788
0.0183,220.50730241373128
0.0186,220.50730241373128
0.0189,220.81183703578307
0.0192,220.81183703578307
0.0195,220.9927566777992
0.0198,221.26969287588116
0.0201,221.26969287588116
0.0204,221.4345828356125
0.0207,221.4345828356125
0.021,221.68783624361703
0.021299999999999996,221.83886584923079
0.021599999999999998,221.83886584923079
0.0219,222.0714586683011
0.022199999999999998,222.0714586683011
0.0225,222.21033754722401
0.022799999999999997,222.42469783412383
0.0231,222.42469783412383
0.0234,222.5528178916938
0.0237,222.5528178916938
0.024,222.75095383655582
0.0243,222.8694746885837
0.0246,222.8694746885837
0.024900000000000002,223.05307690229336
0.0252,223.05307690229336
0.025500000000000002,223.16297596466728
0.025799999999999997,223.33347185485854
0.026099999999999998,223.33347185485854
0.026399999999999996,223.43558150791398
0.026699999999999998,223.43558150791398
0.027,223.59419767794617
0.027299999999999998,223.68923890286322
0.0276,223.68923890286322
0.027899999999999998,223.8370487393895
0.0282,223.8370487393895
0.028499999999999998,223.92565636418584
0.0288,224.0636148776839
0.0291,224.0636148776839
0.0294,224.14635302358153
0.0297,224.14635302358153
0.03,224.2753109479085
0.0303,224.3526811326737
0.030599999999999995,224.3526811326737
0.030899999999999997,224.47339444862666
0.0312,224.47339444862666
0.0315,224.54584223225635
0.031799999999999995,224.65898257792952
0.0321,224.65898257792952
0.0324,224.72690411259236
0.0327,224.72690411259236
0.033,224.83306895344248
0.033299999999999996,224.896817140388
0.0336,224.896817140388
0.0339,224.9965392807498
0.0342,224.9965392807498
0.0345,225.0564293680211
0.0348,225.15018548083458
0.0351,225.15018548083458
0.035399999999999994,225.20649988156885
0.035699999999999996,225.20649988156885
0.036,225.29471747887914
0.0363,225.34770982643812
0.0366,225.34770982643812
0.036899999999999995,225.43077321590135
0.0372,225.43077321590135
0.0375,225.4806723953572
0.0378,225.55892989669633
0.0381,225.55892989669633
0.0384,225.60594342207577
0.0387,225.60594342207577
0.039,225.67971116068105
0.0393,225.7240275719589
0.0396,225.7240275719589
0.0399,225.79359319236573
0.0402,225.79359319236573
0.0405,225.8353842691102
0.0408,225.9010102722081
0.041100000000000005,225.9010102722081
0.0414,225.94043326971865
0.0417,225.94043326971865
0.042,226.00236100992288
0.0423,226.0395603411501
0.04259999999999999,226.0395603411501
0.042899999999999994,226.09801146300657
0.043199999999999995,226.09801146300657
0.0435,226.13311923818753
0.0438,226.18829531676977
0.04409999999999999,226.18829531676977
0.044399999999999995,226.22143341873158
0.0447,226.22143341873158
0.045,226.27352330599945
0.0453,226.30480585527664
0.045599999999999995,226.30480585527664
0.045899999999999996,226.3539869790689
0.0462,226.3539869790689
0.0465,226.3835210389962
0.0468,226.4299600899057
0.047099999999999996,226.4299600899057
0.0474,226.45784622748454
0.0477,226.45784622748454
0.048,226.50170015312165
0.0483,226.52803291778503
0.0486,226.52803291778503
0.0489,226.56944946179516
0.0492,226.56944946179516
0.0495,226.59431717548995
0.049800000000000004,226.633433294027
0.0501,226.633433294027
0.0504,226.6569181009878
0.0507,226.6569181009878
0.051000000000000004,226.69386147862218
0.051300000000000005,226.71604005298394
0.05159999999999999,226.71604005298394
0.051899999999999995,226.7509300185353
0.052199999999999996,226.7509300185353
0.0525,226.77187429363306
0.05279999999999999,226.80482336676016
0.053099999999999994,226.80482336676016
0.053399999999999996,226.82460123367377
0.0537,226.82460123367377
0.054,226.8557159901104
0.054299999999999994,226.8743914729788
0.054599999999999996,226.8743914729788
0.0549,226.90377216895314
0.0552,226.90377216895314
0.0555,226.92140516000973
0.055799999999999995,226.9491449324844
0.0561,226.9491449324844
0.0564,226.9657915378121
0.0567,226.9657915378121
0.056999999999999995,226.99197836379716
0.0573,227.0076915062122
0.0576,227.0076915062122
0.0579,227.03240839752198
0.0582,227.03240839752198
0.058499999999999996,227.04723793862905
0.0588,227.07056304771135
0.0591,227.07056304771135
0.0594,227.08455593011365
0.0597,227.08455593011365
0.06,227.10656286313537
0.0603,227.1197633277677
0.0606,227.1197633277677
0.0609,227.14052155433353
0.06119999999999999,227.14052155433353
0.06149999999999999,227.15297132420312
0.061799999999999994,227.1725463830312
0.062099999999999995,227.1725463830312
0.0624,227.1842846704107
0.06269999999999999,227.1842846704107
0.063,227.20273791963018
0.0633,227.21380141301682
0.06359999999999999,227.21380141301682
0.0639,227.23119015763803
0.0642,227.23119015763803
0.0645,227.24161317265816
0.0648,227.25799102849862
0.06509999999999999,227.25799102849862
0.0654,227.26780576143
0.0657,227.26780576143
0.066,227.2832231525333
0.0663,227.2924599833034
0.06659999999999999,227.2924599833034
0.0669,227.30696469973788
0.0672,227.30696469973788
0.0675,227.31565233541903
0.0678,227.32928944237273
0.0681,227.32928944237273
